0.03/0;28.05;1.78,-0.76,10.98;-0.11,-0.01,-0.21;30.69;11.00
0.05/0;28.07;1.70,-0.05,10.76;-0.09,-0.04,0.03;30.65;12.00
0.06/0;28.13;1.65,-0.02,10.66;-0.09,-0.04,0.03;30.74;12.00
0.08/0;28.13;1.75,0.01,10.74;-0.09,-0.04,0.03;30.69;12.00
0.10/115;28.07;1.75,0.03,10.82;-0.09,-0.04,0.03;30.65;11.00
0.11/0;28.13;1.75,-0.01,10.83;-0.09,-0.04,0.03;30.74;12.00
0.13/0;28.13;1.69,-0.01,10.75;-0.09,-0.04,0.03;30.60;12.00
0.15/0;28.13;1.75,0.02,10.76;-0.09,-0.04,0.03;30.65;12.00
0.16/0;28.07;1.80,-0.03,10.74;-0.08,-0.04,0.03;30.65;12.00
0.18/85;28.13;1.75,-0.04,10.69;-0.09,-0.04,0.03;30.69;11.00
0.20/0;28.05;1.74,0.02,10.72;-0.09,-0.04,0.03;30.74;11.00
0.21/0;28.13;1.74,-0.05,10.71;-0.09,-0.04,0.03;30.74;12.00
0.23/0;28.07;1.75,-0.01,10.83;-0.09,-0.04,0.03;30.69;12.00
0.25/0;28.05;1.75,-0.06,10.73;-0.09,-0.04,0.03;30.65;12.00
0.27/36;28.07;1.70,-0.05,10.74;-0.09,-0.04,0.03;30.65;11.00
0.28/14;27.99;1.72,-0.05,10.77;-0.09,-0.04,0.03;30.60;12.00
0.30/0;28.05;1.69,0.01,10.83;-0.09,-0.04,0.03;30.65;13.00
0.32/0;28.05;1.69,-0.04,10.86;-0.09,-0.04,0.03;30.65;13.00
0.33/0;27.99;1.72,0.01,10.78;-0.09,-0.04,0.03;30.69;13.00
0.35/0;28.05;1.71,-0.03,10.71;-0.09,-0.04,0.03;30.65;12.00
0.37/69;28.05;1.73,-0.02,10.73;-0.09,-0.04,0.03;30.65;12.00
0.38/0;28.05;1.77,0.00,10.75;-0.09,-0.04,0.03;30.60;12.00
0.40/0;28.07;1.75,-0.02,10.75;-0.09,-0.03,0.03;30.69;13.00
0.42/0;28.07;1.73,0.00,10.84;-0.09,-0.04,0.03;30.55;13.00
0.43/0;28.01;1.72,-0.03,10.69;-0.09,-0.04,0.03;30.69;12.00
0.45/41;28.01;1.71,-0.03,10.81;-0.09,-0.04,0.03;30.65;12.00
0.47/0;28.05;1.77,-0.02,10.80;-0.09,-0.04,0.03;30.65;12.00
0.48/0;28.01;1.76,-0.04,10.85;-0.09,-0.04,0.03;30.69;13.00
0.50/0;28.05;1.76,-0.02,10.81;-0.09,-0.04,0.03;30.60;13.00
0.52/0;28.19;1.72,0.00,10.74;-0.09,-0.04,0.03;30.65;12.00
0.53/47;28.17;1.75,-0.02,10.79;-0.09,-0.04,0.03;30.60;12.00
0.55/0;28.07;1.81,-0.04,10.78;-0.09,-0.04,0.03;30.55;12.00
0.57/0;28.11;1.75,-0.03,10.81;-0.09,-0.04,0.03;30.55;13.00
0.58/0;28.05;1.83,-0.02,10.76;-0.09,-0.04,0.03;30.69;13.00
0.60/0;27.99;1.72,-0.03,10.78;-0.09,-0.04,0.03;30.60;12.00
0.62/74;28.11;1.64,-0.05,10.76;-0.09,-0.04,0.03;30.65;12.00
0.63/0;28.11;1.77,0.03,10.75;-0.09,-0.04,0.03;30.69;12.00
0.65/0;27.95;1.79,-0.00,10.75;-0.08,-0.04,0.03;30.55;13.00
0.67/0;28.11;1.73,-0.05,10.73;-0.09,-0.04,0.03;30.65;13.00
0.68/0;27.99;1.74,-0.03,10.72;-0.09,-0.04,0.03;30.60;12.00
0.70/69;28.05;1.75,-0.12,10.76;-0.09,-0.04,0.03;30.69;12.00
0.72/0;28.05;1.66,0.07,10.69;-0.09,-0.04,0.03;30.65;12.00
0.73/0;28.17;1.75,-0.01,10.83;-0.09,-0.04,0.03;30.60;13.00
0.75/0;28.11;1.75,-0.05,10.79;-0.09,-0.04,0.03;30.65;13.00
0.77/0;28.07;1.72,-0.03,10.81;-0.09,-0.04,0.03;30.65;12.00
0.78/0;27.99;1.70,-0.04,10.69;-0.09,-0.05,0.03;30.60;12.00
0.80/0;28.11;1.77,-0.04,10.72;-0.09,-0.03,0.03;30.69;13.00
0.82/0;28.11;1.74,-0.01,10.77;-0.09,-0.04,0.03;30.65;13.00
0.83/0;28.11;1.84,-0.05,10.79;-0.09,-0.04,0.03;30.60;13.00
0.85/42;28.11;1.76,-0.07,10.78;-0.09,-0.04,0.03;30.69;11.00
0.87/0;28.11;1.72,0.03,10.78;-0.09,-0.05,0.03;30.65;12.00
0.88/0;28.07;1.78,-0.06,10.79;-0.09,-0.04,0.03;30.65;13.00
0.90/0;28.11;1.77,-0.03,10.58;-0.09,-0.04,0.03;30.69;13.00
0.92/0;28.07;1.73,0.02,10.75;-0.09,-0.04,0.03;30.65;12.00
0.93/49;28.05;1.81,-0.06,10.84;-0.09,-0.04,0.03;30.60;11.00
0.95/0;28.01;1.75,-0.05,10.86;-0.09,-0.04,0.03;30.69;12.00
0.97/0;28.01;1.78,-0.02,10.72;-0.09,-0.04,0.03;30.74;13.00
0.98/0;28.07;1.75,-0.08,10.70;-0.09,-0.04,0.03;30.74;13.00
1.00/0;28.05;1.70,0.00,10.78;-0.09,-0.04,0.03;30.60;12.00
1.02/112;28.05;1.79,-0.05,10.71;-0.09,-0.04,0.03;30.65;12.00
1.03/0;28.07;1.73,0.01,10.77;-0.08,-0.04,0.03;30.65;12.00
1.05/0;28.11;1.69,-0.05,10.75;-0.09,-0.04,0.03;30.69;13.00
1.07/0;28.13;1.74,-0.04,10.77;-0.09,-0.04,0.03;30.65;12.00
