0.03/0;28.25;1.09,-0.04,10.55;30.60;1.00
0.03/0;28.25;0.93,-0.11,10.83;30.79;1.00
0.04/0;28.25;1.08,-0.12,10.73;30.74;1.00
0.04/696;28.27;0.86,-0.12,10.97;30.69;1.00
0.03/0;28.17;0.90,-0.10,10.84;30.60;2.00
0.03/0;28.19;1.01,-0.10,10.89;30.69;1.00
0.04/0;28.19;0.96,-0.06,10.75;30.65;1.00
0.04/0;28.19;0.95,-0.05,10.73;30.79;2.00
0.05/0;28.23;0.95,-0.05,10.80;30.69;1.00
0.05/0;28.19;0.91,-0.14,10.98;30.79;1.00
0.05/0;28.19;1.36,0.20,9.85;30.74;2.00
0.06/0;28.19;1.00,-0.11,10.79;30.65;2.00
0.06/26;28.23;0.95,-0.05,10.85;30.74;1.00
0.07/0;28.19;0.92,-0.18,10.94;30.79;2.00
0.07/0;28.17;0.90,-0.09,10.89;30.69;2.00
0.08/0;28.17;0.95,-0.05,10.72;30.74;1.00
0.08/0;28.19;0.92,-0.09,10.88;30.69;1.00
0.08/0;28.17;0.87,-0.12,10.86;30.65;2.00
0.09/5;28.19;0.92,-0.04,10.73;30.79;1.00
0.09/0;28.19;0.91,-0.13,10.75;30.74;1.00
0.10/0;28.19;1.04,-0.10,10.60;30.74;2.00
0.10/0;28.17;0.84,-0.08,11.04;30.79;1.00
0.11/0;28.19;0.82,-0.16,10.89;30.69;1.00
0.11/0;28.19;0.83,-0.12,10.86;30.65;2.00
0.11/0;28.17;0.85,-0.10,10.89;30.65;2.00
0.12/0;28.23;0.83,-0.13,10.82;30.69;1.00
0.12/0;28.19;0.85,-0.12,10.74;30.74;1.00
0.13/0;28.27;0.89,-0.12,10.84;30.69;2.00
0.13/0;28.19;0.76,-0.12,10.85;30.74;1.00
0.14/0;28.19;0.85,-0.14,10.89;30.79;1.00
0.14/0;28.17;0.81,-0.12,10.87;30.69;2.00
0.14/0;28.19;0.79,-0.13,10.78;30.74;1.00
0.15/0;28.19;0.85,-0.11,10.79;30.65;1.00
0.15/0;28.13;0.79,-0.01,10.77;30.74;2.00
0.16/0;28.25;0.88,-0.12,10.79;30.69;2.00
0.16/2622;28.23;0.83,-0.09,10.88;30.65;1.00
0.16/0;28.23;0.84,-0.07,10.88;30.65;1.00
0.17/0;28.25;0.83,-0.09,10.80;30.74;2.00
0.17/0;28.25;0.81,-0.13,10.81;30.69;1.00
0.18/0;28.25;0.82,-0.16,10.80;30.69;1.00
0.18/0;28.33;0.83,-0.16,10.82;30.65;2.00
0.19/0;28.31;0.84,-0.13,10.84;30.84;1.00
0.19/17;28.37;0.85,-0.16,10.78;30.69;1.00
0.19/0;28.51;0.84,-0.16,10.81;30.69;2.00
0.20/0;28.39;0.77,-0.10,10.80;30.74;2.00
0.20/48;28.43;0.86,-0.10,10.89;30.74;1.00
0.21/0;28.71;0.85,-0.11,10.75;30.65;1.00
0.21/0;28.57;0.89,-0.18,10.81;30.79;2.00
0.22/0;28.47;0.80,-0.13,10.81;30.74;1.00
0.22/0;28.51;0.83,-0.18,10.78;30.74;1.00
0.22/0;28.57;0.82,-0.15,10.93;30.74;2.00
0.23/0;28.45;0.86,-0.17,10.81;30.69;1.00
0.23/0;28.47;0.82,-0.10,10.80;30.69;1.00
0.24/0;28.43;0.91,-0.17,10.65;30.84;2.00
0.24/0;28.43;0.87,-0.15,10.76;30.79;2.00
0.25/27;28.37;0.79,-0.08,10.76;30.74;1.00
0.25/0;28.43;0.93,-0.17,10.81;30.79;1.00
0.25/0;28.43;0.83,-0.18,10.86;30.74;2.00
0.26/0;28.45;0.83,-0.12,10.80;30.69;1.00
0.26/0;28.47;0.79,-0.13,10.82;30.74;1.00
0.27/0;28.45;0.86,-0.14,10.81;30.69;2.00
0.27/0;28.43;0.84,-0.16,10.80;30.74;1.00
0.27/0;28.43;0.79,-0.09,10.75;30.74;4.00
0.28/0;28.45;0.89,-0.11,10.79;30.79;3.00
0.28/0;28.39;0.84,-0.10,10.82;30.65;7.00
0.29/18;28.39;0.78,-0.14,10.84;30.79;2.00
0.29/0;28.43;0.88,-0.10,10.79;30.65;2.00
0.30/0;28.45;0.86,-0.11,10.82;30.79;2.00
0.30/2243;28.45;0.84,-0.11,10.80;30.74;1.00
0.30/0;28.39;0.88,-0.13,10.69;30.84;1.00
0.31/0;28.43;0.89,-0.12,10.84;30.84;2.00
0.31/0;28.39;0.86,-0.10,10.80;30.79;1.00
0.32/0;28.47;0.85,-0.11,10.82;30.79;1.00
0.32/0;28.59;0.81,-0.11,10.78;30.69;2.00
0.33/0;28.63;0.79,-0.14,10.85;30.65;2.00
0.33/34;28.43;0.85,-0.10,10.76;30.74;1.00
0.33/0;28.39;0.78,-0.12,10.79;30.69;2.00
0.34/0;28.37;0.82,-0.08,10.86;30.84;2.00
0.34/5;28.43;0.85,-0.12,10.80;30.74;1.00
0.35/0;28.43;0.79,-0.19,10.85;30.74;1.00
0.35/0;28.45;0.88,-0.08,10.78;30.79;2.00
0.36/0;28.43;0.84,-0.20,10.67;30.79;2.00
0.36/0;28.43;0.86,-0.13,10.90;30.74;1.00
0.36/0;28.45;0.78,-0.06,10.82;30.65;3.00
0.37/0;28.45;0.83,-0.15,10.85;30.69;4.00
0.37/0;28.39;0.85,-0.15,10.88;30.79;3.00
0.38/0;28.45;0.87,-0.16,10.82;30.74;4.00
0.38/0;28.43;0.79,-0.07,10.81;30.79;4.00
0.38/0;28.45;0.87,-0.17,10.84;30.74;4.00
0.39/0;28.43;0.85,-0.09,10.76;30.69;2.00
0.39/0;28.39;0.85,-0.17,10.81;30.74;2.00
0.40/403;28.39;0.84,-0.11,10.75;30.79;2.00
0.40/16;28.43;0.86,-0.05,10.81;30.79;1.00
0.41/0;28.39;0.90,-0.14,10.85;30.79;2.00
0.41/0;28.33;0.84,-0.08,10.68;30.74;2.00
0.41/48;28.27;0.85,-0.18,10.81;30.74;1.00
0.42/23;28.27;0.83,-0.12,10.79;30.84;2.00
0.42/0;28.25;0.81,-0.11,10.84;30.79;2.00
0.43/0;28.27;0.84,-0.16,10.85;30.69;2.00
0.43/0;28.25;0.84,-0.08,10.87;30.74;1.00
0.44/0;28.25;0.91,-0.14,10.82;30.79;2.00
0.44/0;28.27;0.82,-0.11,10.82;30.74;2.00
0.44/64;28.27;0.85,-0.12,10.77;30.79;1.00
0.45/0;28.37;0.91,-0.15,10.87;30.74;2.00
0.45/0;28.31;0.84,-0.11,10.78;30.84;2.00
0.46/0;28.27;0.81,-0.10,10.86;30.69;1.00
0.46/0;28.25;0.88,-0.14,10.81;30.79;2.00
0.47/0;28.23;0.83,-0.12,10.81;30.74;2.00
0.47/0;28.25;0.81,-0.12,10.80;30.74;2.00
0.47/0;28.25;0.84,-0.16,10.83;30.79;1.00
0.48/0;28.19;0.92,-0.12,10.82;30.69;2.00
0.48/0;28.25;0.87,-0.15,10.75;30.79;2.00
0.49/6;28.19;0.87,-0.11,10.81;30.84;1.00
0.49/0;28.23;0.85,-0.11,10.84;30.69;2.00
0.49/0;28.19;0.85,-0.14,10.93;30.79;2.00
0.50/15;28.27;0.76,-0.15,10.88;30.84;2.00
0.50/0;28.47;0.87,-0.09,10.80;30.74;2.00
0.51/0;28.57;0.85,-0.13,10.75;30.74;2.00
0.51/0;28.69;0.79,-0.11,10.87;30.69;2.00
0.52/0;28.47;0.81,-0.10,10.85;30.74;1.00
0.52/0;28.47;0.89,-0.17,10.81;30.74;2.00
0.52/0;28.69;0.88,-0.11,10.76;30.74;2.00
0.53/35;28.65;0.85,-0.10,10.84;30.79;1.00
0.53/0;28.95;0.82,-0.15,10.77;30.69;2.00
0.54/0;28.89;0.85,-0.17,10.68;30.74;2.00
0.54/0;28.75;0.89,-0.19,10.85;30.74;2.00
0.55/0;28.75;0.88,-0.10,10.75;30.69;2.00
0.55/0;28.53;0.75,-0.14,10.80;30.69;2.00
0.55/0;28.45;0.83,-0.10,10.76;30.74;2.00
0.56/11;28.53;0.82,-0.12,10.87;30.74;1.00
0.56/0;28.47;0.88,-0.12,10.77;30.74;2.00
0.57/0;28.45;0.86,-0.13,10.88;30.79;2.00
0.57/64;28.43;0.81,-0.12,10.80;30.74;1.00
0.58/0;28.33;0.83,-0.13,10.77;30.74;2.00
0.58/0;28.19;0.80,-0.09,10.79;30.74;2.00
0.58/3;28.19;0.80,-0.13,10.69;30.69;2.00
0.59/0;28.19;0.79,-0.14,10.86;30.69;2.00
0.59/0;28.23;0.82,-0.14,10.84;30.74;2.00
0.60/0;28.23;0.83,-0.17,10.89;30.69;2.00
0.60/22;28.17;0.82,-0.10,10.92;30.69;2.00
0.61/0;28.19;0.84,-0.13,10.82;30.65;2.00
0.61/0;28.23;0.87,-0.13,10.77;30.74;2.00
0.61/16;28.23;0.78,-0.14,10.80;30.79;2.00
0.62/0;28.25;0.84,-0.13,10.78;30.69;2.00
0.62/0;28.19;0.85,-0.14,10.79;30.79;2.00
0.63/0;28.19;0.82,-0.12,10.77;30.74;2.00
0.63/0;28.23;0.88,-0.13,10.80;30.65;2.00
0.63/0;28.19;0.83,-0.14,10.81;30.69;2.00
0.64/0;28.17;0.78,-0.16,10.87;30.74;2.00
0.64/0;28.17;0.82,-0.14,10.83;30.74;2.00
0.65/0;28.19;0.89,-0.13,10.88;30.74;2.00
0.65/0;28.19;0.84,-0.13,10.85;30.79;2.00
0.66/2674;28.25;0.79,-0.12,10.89;30.65;2.00
0.66/0;28.23;0.84,-0.07,10.75;30.74;2.00
0.66/0;28.25;0.91,-0.15,10.81;30.74;2.00
0.67/0;28.19;0.82,-0.08,10.79;30.69;2.00
0.67/0;28.17;0.88,-0.18,10.77;30.69;2.00
0.68/0;28.23;0.82,-0.10,10.77;30.69;2.00
0.68/0;28.25;0.84,-0.17,10.76;30.84;2.00
0.69/0;28.27;0.82,-0.16,10.85;30.74;2.00
0.69/0;28.23;0.84,-0.09,10.84;30.60;2.00
0.69/0;28.25;0.88,-0.12,10.80;30.74;2.00
0.70/59;28.27;0.79,-0.06,10.88;30.69;2.00
0.70/0;28.23;0.80,-0.13,10.79;30.74;2.00
0.71/0;28.19;0.85,-0.11,10.82;30.69;2.00
0.71/16;28.23;0.84,-0.13,10.80;30.69;2.00
